,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10
141,5489252.75082571,837698.907511631,6341090.67207015,2634203.49176758,403599.563318121,1734316.6403921,1711848.46617125,806768.74964204,2732031.05362535,4041845.4103542
142,4735697.93883782,2037275.90422544,4922913.28387774,2294450.38227386,833659.291910716,3412996.84104361,620142.608990136,544236.233639309,2030244.08219682,4418489.70499654
143,9800711.46321096,2245022.85282741,6438000.67411998,2238912.93994703,628185.228810088,3844835.88047292,464293.038385884,751630.692780257,3677573.50603756,6514561.92297632
144,6406567.18746685,2898549.9764705,5963058.94596648,2417003.90934767,735734.867241899,2106481.724668,683728.032105105,549044.791059163,2074727.57816358,2834350.6416245
145,7421547.23897265,4329403.02191867,6554371.93660765,1487273.64525503,405681.886128011,1179392.72820642,834046.281191572,631401.472285585,1673552.73052331,1476352.77613734
146,2721069.00453924,1407684.8372455,16747084.1110728,2259936.23272221,1109588.8775993,5036559.53188008,954508.450129424,925970.528274874,1150853.32249726,6343594.32693639
147,1944434.87190805,1684044.24863344,9217546.22947791,4648766.67376048,329252.983197947,5241941.71167497,428705.145392783,643959.102306064,1512418.11590868,4556568.64640005
148,5915633.49438021,1688375.52297521,6162856.51792064,3648248.51248472,688237.313133976,7072361.37334716,762519.001162412,347306.666864156,1684608.77674906,1688407.19293538
149,2085860.00364291,4786041.81145738,8893193.71814088,1968391.61840598,762007.207427699,4768018.00199166,650800.130042656,770160.444422734,1048284.54725732,3329397.6152486
150,9915318.6372756,6853366.07538309,8893965.43243178,2276098.45664317,493362.894189589,4265821.35071397,721263.258774477,1615592.99220516,869168.180533086,6686260.02846949
151,1263324.24496174,3635117.27726424,6781502.83311661,1955817.5926388,1371060.00396964,7349303.19940808,556015.124584947,730488.06990084,914403.08887488,6048102.62217637
152,9416688.57172395,1759652.99539715,9852863.62578953,2925661.54256713,1004068.95200938,6191863.426763,306269.662750354,718445.999891633,1054257.89903029,2498211.54688535
153,2451237.47127426,846990.026516895,6453043.92603984,1534942.40540954,528699.316370629,4605128.65046129,1032882.94538437,374220.284094671,1736925.05424207,1464682.9867639
154,6742449.91284936,524422.127735156,8578601.58488043,2577308.64498788,819078.194990098,3242678.31541755,1465381.17789492,159849.463093037,755817.455032503,3440654.79741067
155,2536634.01567738,1362970.21809985,8263106.0754992,8629513.97624478,796981.491127972,2692643.07066297,720805.125335146,944460.368460884,900632.5461086,5067914.1280553
156,3939837.06862249,1264761.61356189,7947175.85305434,7418413.21594343,1005882.6331733,2602894.2997297,616172.445958849,1061526.04450012,1551278.09076794,2249161.47562377
157,6089295.55638418,1783567.57031169,4618354.41891692,3079149.57433771,786750.001650697,1579984.62792738,693844.450412804,510347.852986545,2494821.2912044,2804623.88246626
158,13855921.5167092,1299245.37458878,5709998.01633688,2670921.80404901,1092997.42969186,2562391.63868241,674200.052607158,1012854.91085432,1385254.42917171,2138232.32612156
159,5274368.66873013,5318020.94306835,4359334.41772261,3233161.9257731,860019.553959005,2981172.31909493,870189.685356571,311434.800859889,1436600.60686711,2064677.61639999
160,2131596.33930261,1503816.11695466,11282458.5506588,1731055.45146549,633577.343615083,4043466.0739524,946265.792288018,390760.304649443,737499.054694154,5379731.44433345
161,1941959.02980346,1744035.69026386,3473734.41593221,3221998.08926372,687739.644102301,1710618.48232223,1037820.69504855,425492.571094956,776768.621128517,5660801.12498022
162,2375602.37729264,893788.532827942,2719666.76519413,9151182.75133324,646381.019937122,4137489.76133057,904240.161026709,503418.382218488,972993.956668392,6321428.86869848
163,12355368.2339998,1059166.39120434,6837619.52944253,4131993.51370808,431739.799821629,4755448.10382549,511956.870770139,696602.936620755,553860.760469076,6359583.26969485
164,2640656.37279792,1493731.5041779,8142445.17426977,3386183.8350741,784368.826451675,6788478.64160477,689076.885391438,541010.494005617,994367.754167826,1099469.97063403
165,5298870.97513292,798887.827209688,8759693.01465948,2318453.0973369,1201206.51635722,5672901.90462699,1549498.69810262,165617.01043872,1402073.79435954,5293741.78629239
166,2179931.71902848,4114139.11104891,9815717.40178603,1808452.06637457,710634.745258724,3905407.75996324,738084.772830612,352118.808967229,1879940.93021976,11778398.3108652
167,667702.217869294,1443933.47003488,7650938.69153483,3215815.37024536,988344.466215058,4040145.7759529,814857.931211396,763779.145048091,1165464.03226934,3145099.60045994
168,1510251.20668516,2089764.78889916,7395638.52655243,1734020.48901946,645322.932450631,4056725.59645744,869857.174312643,996913.46780896,1832598.22570378,4687272.75422789
169,1685509.71564247,3180575.85650261,10109779.3886553,1530452.04986269,866738.11500856,6882422.07408116,619676.941051885,848222.007740735,1087572.89435653,3668772.49851542
170,6141154.46879074,3809289.39342496,3397608.0389717,2278177.47986043,759093.351828367,3459172.70326705,947817.517939479,756107.310082391,736024.064390204,7135604.67082062
171,4295201.55397134,2274205.94741852,3243889.27048629,1929075.83449515,1199962.69821102,1999962.96547979,1476372.70751813,655579.61830355,634792.487193463,5522368.0991233
172,8720737.04933299,1277478.53377693,11011975.3048894,4671909.89794692,895907.841943832,2837944.14681597,1072931.70922116,622036.01757232,1007085.55632299,1611036.9273101
173,4410681.70836811,1314195.18435388,8140052.33103844,3126429.13620591,838617.58533117,6088318.92090561,1410701.58450986,1671035.64975685,948559.510901558,1659142.40990283
